2017-12-11 22:49:16.261 [main] INFO  fr.ocr.main.Main - Entering application
2017-12-11 22:49:16.264 [main] INFO  fr.ocr.jeu.Lanceur - Entering Constructeur Lanceur
2017-12-11 22:49:16.266 [main] INFO  fr.ocr.jeu.Lanceur - File config.properties exists
2017-12-11 22:49:16.267 [main] INFO  fr.ocr.configuration.Configuration - CLASS CONFIGURATION : Entering Constructeur Empty Configuration
2017-12-11 22:49:16.267 [main] INFO  fr.ocr.configuration.Configuration - CLASS CONFIGURATION : Sauvegarde du fichier de configuration
2017-12-11 22:49:16.267 [main] INFO  fr.ocr.configuration.Configuration - CLASS CONFIGURATION : Fichier de configuration sauvegardé
2017-12-11 22:49:16.268 [main] INFO  fr.ocr.configuration.Configuration - CLASS CONFIGURATION : Saved File Read
2017-12-11 22:49:16.268 [main] INFO  fr.ocr.configuration.Configuration - CLASS CONFIGURATION : Lecture du fichier de configuration
2017-12-11 22:49:16.320 [main] INFO  fr.ocr.configuration.Configuration - CLASS CONFIGURATION : Fichier de configuration lu
2017-12-11 22:49:16.320 [main] INFO  fr.ocr.jeu.Lanceur - Entre dans la class lancerJeu
2017-12-11 22:49:16.322 [main] INFO  fr.ocr.configuration.Configuration - CLASS CONFIGURATION : Entering Constructeur Empty Configuration
2017-12-11 22:49:16.323 [main] INFO  fr.ocr.configuration.Configuration - CLASS CONFIGURATION : Sauvegarde du fichier de configuration
2017-12-11 22:49:16.323 [main] INFO  fr.ocr.configuration.Configuration - CLASS CONFIGURATION : Fichier de configuration sauvegardé
2017-12-11 22:49:16.324 [main] INFO  fr.ocr.configuration.Configuration - CLASS CONFIGURATION : Saved File Read
2017-12-11 22:49:16.324 [main] INFO  fr.ocr.menu.JeuMenu - Entre dans l'afficherMenu du jeu
2017-12-11 22:49:16.349 [main] INFO  fr.ocr.menu.JeuMenu - Entre dans choisirMenu du jeu
2017-12-11 22:49:24.333 [main] INFO  fr.ocr.configuration.Configuration - CLASS CONFIGURATION : Lecture du fichier de configuration
2017-12-11 22:49:24.337 [main] INFO  fr.ocr.configuration.Configuration - CLASS CONFIGURATION : Fichier de configuration lu
2017-12-11 22:49:24.337 [main] DEBUG fr.ocr.menu.JeuMenu - Configuration du jeu choisi dans le menu jeu : D
2017-12-11 22:49:24.338 [main] INFO  fr.ocr.menu.JeuMenu - Entre dans l'afficherMenu du jeu
2017-12-11 22:49:24.353 [main] INFO  fr.ocr.menu.JeuMenu - Entre dans choisirMenu du jeu
2017-12-11 22:49:25.478 [main] DEBUG fr.ocr.menu.JeuMenu - Configuration du jeu choisi dans le menu jeu : L
2017-12-11 22:49:25.478 [main] INFO  fr.ocr.jeu.Lanceur - Lancement du jeu
2017-12-11 22:49:25.478 [main] INFO  fr.ocr.jeu.Lanceur - Initialisation du jeu
2017-12-11 22:49:25.478 [main] INFO  fr.ocr.configuration.Configuration - CLASS CONFIGURATION : Entering Constructeur Empty Configuration
2017-12-11 22:49:25.479 [main] INFO  fr.ocr.configuration.Configuration - CLASS CONFIGURATION : Sauvegarde du fichier de configuration
2017-12-11 22:49:25.479 [main] INFO  fr.ocr.configuration.Configuration - CLASS CONFIGURATION : Fichier de configuration sauvegardé
2017-12-11 22:49:25.479 [main] INFO  fr.ocr.configuration.Configuration - CLASS CONFIGURATION : Saved File Read
2017-12-11 22:49:25.479 [main] INFO  fr.ocr.jeu.Lanceur - Entre dans setMode de la class Lanceur
2017-12-11 22:49:25.479 [main] INFO  fr.ocr.jeu.Lanceur - Mode intancie en DefenseMode
2017-12-11 22:49:25.480 [main] INFO  fr.ocr.configuration.Configuration - CLASS CONFIGURATION : Entering Constructeur Empty Configuration
2017-12-11 22:49:25.480 [main] INFO  fr.ocr.configuration.Configuration - CLASS CONFIGURATION : Sauvegarde du fichier de configuration
2017-12-11 22:49:25.480 [main] INFO  fr.ocr.configuration.Configuration - CLASS CONFIGURATION : Fichier de configuration sauvegardé
2017-12-11 22:49:25.480 [main] INFO  fr.ocr.configuration.Configuration - CLASS CONFIGURATION : Saved File Read
2017-12-11 22:49:25.480 [main] INFO  fr.ocr.mode.Mode - Entering Constructeur Empty Mode
2017-12-11 22:49:25.481 [main] INFO  fr.ocr.configuration.Configuration - CLASS CONFIGURATION : Entering Constructeur Empty Configuration
2017-12-11 22:49:25.482 [main] INFO  fr.ocr.configuration.Configuration - CLASS CONFIGURATION : Sauvegarde du fichier de configuration
2017-12-11 22:49:25.482 [main] INFO  fr.ocr.configuration.Configuration - CLASS CONFIGURATION : Fichier de configuration sauvegardé
2017-12-11 22:49:25.482 [main] INFO  fr.ocr.configuration.Configuration - CLASS CONFIGURATION : Saved File Read
2017-12-11 22:49:25.482 [main] INFO  fr.ocr.configuration.Configuration - CLASS CONFIGURATION : Entering Constructeur Empty Configuration
2017-12-11 22:49:25.483 [main] INFO  fr.ocr.configuration.Configuration - CLASS CONFIGURATION : Sauvegarde du fichier de configuration
2017-12-11 22:49:25.483 [main] INFO  fr.ocr.configuration.Configuration - CLASS CONFIGURATION : Fichier de configuration sauvegardé
2017-12-11 22:49:25.483 [main] INFO  fr.ocr.configuration.Configuration - CLASS CONFIGURATION : Saved File Read
2017-12-11 22:49:25.483 [main] DEBUG fr.ocr.jeu.Lanceur - Mode choisi : D
2017-12-11 22:49:25.484 [main] DEBUG fr.ocr.jeu.Lanceur - Mode instancie class fr.ocr.mode.DefenseMode
2017-12-11 22:49:25.484 [main] INFO  fr.ocr.mode.Mode - Debut de la sequence de jeu
2017-12-11 22:49:25.484 [main] INFO  fr.ocr.joueur.HumainJoueur - Entre dans HumainJoueur.choisirChiffreSecret()
2017-12-11 22:49:27.704 [main] INFO  fr.ocr.joueur.HumainJoueur - Verification du nombre rentre
2017-12-11 22:49:27.704 [main] INFO  fr.ocr.joueur.HumainJoueur - Verification faite et correcte
2017-12-11 22:49:27.704 [main] DEBUG fr.ocr.joueur.HumainJoueur - Chiffre Secret choisi par le joueur : 0000
2017-12-11 22:49:27.705 [main] INFO  fr.ocr.mode.Mode - Nouveau passage dans la boucle de découverte du chiffre
2017-12-11 22:49:27.706 [main] INFO  fr.ocr.joueur.OrdinateurJoueur - Entre dans OrdinateurJoueur.trouverChiffreSecret()
2017-12-11 22:49:27.706 [main] INFO  fr.ocr.configuration.Configuration - CLASS CONFIGURATION : Entering Constructeur Empty Configuration
2017-12-11 22:49:27.707 [main] INFO  fr.ocr.configuration.Configuration - CLASS CONFIGURATION : Sauvegarde du fichier de configuration
